REF_DATE,GEO,DGUID,VECTOR,COORDINATE,Population estimate
1953-10-01,Saskatchewan,2016A000247,v14,9,866000
1953-10-01,Alberta,2016A000248,v15,10,1029000
1953-10-01,British Columbia,2016A000259,v3,11,1265000
1953-10-01,Yukon,2016A000260,v4,12,9000
1953-10-01,Northwest Territories including Nunavut,,v5,13,16000
1954-01-01,Canada,2016A000011124,v1,1,15105000
1954-01-01,Newfoundland and Labrador,2016A000210,v2,2,390000
1954-01-01,Prince Edward Island,2016A000211,v8,3,101000
1954-01-01,Nova Scotia,2016A000212,v9,4,668000
1954-01-01,New Brunswick,2016A000213,v10,5,537000
1954-01-01,Quebec,2016A000224,v11,6,4337000
1954-01-01,Ontario,2016A000235,v12,7,5047000
1954-01-01,Manitoba,2016A000246,v13,8,816000
1954-01-01,Saskatchewan,2016A000247,v14,9,867000
1954-01-01,Alberta,2016A000248,v15,10,1039000
1954-01-01,British Columbia,2016A000259,v3,11,1278000
1954-01-01,Yukon,2016A000260,v4,12,9000
1954-01-01,Northwest Territories including Nunavut,,v5,13,16000
1954-04-01,Canada,2016A000011124,v1,1,15199000
1954-04-01,Newfoundland and Labrador,2016A000210,v2,2,393000
1954-04-01,Prince Edward Island,2016A000211,v8,3,101000
1954-04-01,Nova Scotia,2016A000212,v9,4,670000
1954-04-01,New Brunswick,2016A000213,v10,5,538000
1954-04-01,Quebec,2016A000224,v11,6,4365000
1954-04-01,Ontario,2016A000235,v12,7,5082000
1954-04-01,Manitoba,2016A000246,v13,8,819000
1954-04-01,Saskatchewan,2016A000247,v14,9,869000
1954-04-01,Alberta,2016A000248,v15,10,1047000
1954-04-01,British Columbia,2016A000259,v3,11,1288000
1954-04-01,Yukon,2016A000260,v4,12,10000
1954-04-01,Northwest Territories including Nunavut,,v5,13,17000
1954-07-01,Canada,2016A000011124,v1,1,15330000
1954-07-01,Newfoundland and Labrador,2016A000210,v2,2,396000
1954-07-01,Prince Edward Island,2016A000211,v8,3,101000
1954-07-01,Nova Scotia,2016A000212,v9,4,674000
1954-07-01,New Brunswick,2016A000213,v10,5,541000
1954-07-01,Quebec,2016A000224,v11,6,4402000
1954-07-01,Ontario,2016A000235,v12,7,5130000
1954-07-01,Manitoba,2016A000246,v13,8,825000
1954-07-01,Saskatchewan,2016A000247,v14,9,874000
1954-07-01,Alberta,2016A000248,v15,10,1061000
1954-07-01,British Columbia,2016A000259,v3,11,1299000
1954-07-01,Yukon,2016A000260,v4,12,10000
1954-07-01,Northwest Territories including Nunavut,,v5,13,17000
1954-10-01,Canada,2016A000011124,v1,1,15444000
1954-10-01,Newfoundland and Labrador,2016A000210,v2,2,399000
1954-10-01,Prince Edward Island,2016A000211,v8,3,101000
1954-10-01,Nova Scotia,2016A000212,v9,4,676000
1954-10-01,New Brunswick,2016A000213,v10,5,543000
1954-10-01,Quebec,2016A000224,v11,6,4436000
1954-10-01,Ontario,2016A000235,v12,7,5174000
1954-10-01,Manitoba,2016A000246,v13,8,830000
1954-10-01,Saskatchewan,2016A000247,v14,9,877000
1954-10-01,Alberta,2016A000248,v15,10,1070000
1954-10-01,British Columbia,2016A000259,v3,11,1311000
1954-10-01,Yukon,2016A000260,v4,12,10000
1954-10-01,Northwest Territories including Nunavut,,v5,13,17000
1955-01-01,Canada,2016A000011124,v1,1,15535000
1955-01-01,Newfoundland and Labrador,2016A000210,v2,2,401000
1955-01-01,Prince Edward Island,2016A000211,v8,3,100000
1955-01-01,Nova Scotia,2016A000212,v9,4,678000
1955-01-01,New Brunswick,2016A000213,v10,5,544000
1955-01-01,Quebec,2016A000224,v11,6,4465000
1955-01-01,Ontario,2016A000235,v12,7,5208000
1955-01-01,Manitoba,2016A000246,v13,8,833000
1955-01-01,Saskatchewan,2016A000247,v14,9,877000
1955-01-01,Alberta,2016A000248,v15,10,1078000
1955-01-01,British Columbia,2016A000259,v3,11,1323000
1955-01-01,Yukon,2016A000260,v4,12,11000
